Datetime,Timestamp,Sensor,Acao,Distancia_Pixels
2026-04-16 13:21:26.126,1776342086.1269956,Teclado,Key_AlphaNumeric_Release,0
2026-04-16 13:21:26.195,1776342086.1950622,Teclado,Key_AlphaNumeric_Press,0
2026-04-16 13:21:26.286,1776342086.286201,Teclado,Key_AlphaNumeric_Release,0
2026-04-16 13:21:26.366,1776342086.366084,Teclado,Key_AlphaNumeric_Press,0
2026-04-16 13:21:26.443,1776342086.4439795,Teclado,Key_AlphaNumeric_Release,0
2026-04-16 13:21:26.517,1776342086.5174959,Teclado,Key_AlphaNumeric_Press,0
2026-04-16 13:21:26.560,1776342086.5604532,Teclado,Key_AlphaNumeric_Press,0
2026-04-16 13:21:26.592,1776342086.592016,Teclado,Key_AlphaNumeric_Release,0
2026-04-16 13:21:26.666,1776342086.6668851,Teclado,Key_AlphaNumeric_Release,0
2026-04-16 13:21:26.759,1776342086.7590222,Teclado,Key_AlphaNumeric_Press,0
2026-04-16 13:21:26.837,1776342086.837922,Teclado,Key_AlphaNumeric_Release,0
2026-04-16 13:21:26.843,1776342086.8433995,Teclado,Key_AlphaNumeric_Press,0
2026-04-16 13:21:26.917,1776342086.9177747,Teclado,Key_AlphaNumeric_Release,0
2026-04-16 13:21:27.172,1776342087.1728337,Teclado,Key_Space_Press,0
2026-04-16 13:21:27.263,1776342087.2631664,Teclado,Key_Space_Release,0
2026-04-16 13:21:27.287,1776342087.287821,Teclado,Key_AlphaNumeric_Press,0
2026-04-16 13:21:27.357,1776342087.3579862,Teclado,Key_WASD_Press,0
2026-04-16 13:21:27.382,1776342087.382345,Teclado,Key_AlphaNumeric_Release,0
2026-04-16 13:21:27.468,1776342087.4684205,Teclado,Key_WASD_Release,0
2026-04-16 13:21:27.594,1776342087.5946426,Teclado,Key_AlphaNumeric_Press,0
2026-04-16 13:21:27.711,1776342087.7119074,Teclado,Key_AlphaNumeric_Press,0
2026-04-16 13:21:27.737,1776342087.7372785,Teclado,Key_AlphaNumeric_Release,0
2026-04-16 13:21:27.870,1776342087.8704731,Teclado,Key_AlphaNumeric_Release,0
2026-04-16 13:21:28.692,1776342088.6920378,Teclado,Key_AlphaNumeric_Press,0
2026-04-16 13:21:28.748,1776342088.7489917,Teclado,Key_Space_Press,0
2026-04-16 13:21:28.802,1776342088.8027492,Teclado,Key_AlphaNumeric_Release,0
2026-04-16 13:21:28.882,1776342088.8824594,Teclado,Key_Space_Release,0
2026-04-16 13:21:28.978,1776342088.978134,Teclado,Key_AlphaNumeric_Press,0
2026-04-16 13:21:29.045,1776342089.045665,Teclado,Key_AlphaNumeric_Press,0
2026-04-16 13:21:29.082,1776342089.0829725,Teclado,Key_AlphaNumeric_Release,0
2026-04-16 13:21:29.109,1776342089.1096356,Teclado,Key_AlphaNumeric_Press,0
2026-04-16 13:21:29.147,1776342089.1470919,Teclado,Key_AlphaNumeric_Release,0
2026-04-16 13:21:29.222,1776342089.2226906,Teclado,Key_AlphaNumeric_Release,0
2026-04-16 13:21:29.249,1776342089.2497203,Teclado,Key_AlphaNumeric_Press,0
2026-04-16 13:21:29.334,1776342089.3346472,Teclado,Key_AlphaNumeric_Release,0
2026-04-16 13:21:29.392,1776342089.3922143,Teclado,Key_AlphaNumeric_Press,0
2026-04-16 13:21:29.478,1776342089.4782739,Teclado,Key_AlphaNumeric_Release,0
2026-04-16 13:21:29.519,1776342089.5190682,Teclado,Key_Space_Press,0
2026-04-16 13:21:29.635,1776342089.6357765,Teclado,Key_Space_Release,0
2026-04-16 13:21:29.826,1776342089.8266604,Teclado,Key_AlphaNumeric_Press,0
2026-04-16 13:21:29.867,1776342089.867438,Teclado,Key_AlphaNumeric_Release,0
2026-04-16 13:21:30.650,1776342090.650318,Teclado,Key_WASD_Press,0
2026-04-16 13:21:30.798,1776342090.7983758,Teclado,Key_AlphaNumeric_Press,0
2026-04-16 13:21:30.824,1776342090.8249846,Teclado,Key_WASD_Release,0
2026-04-16 13:21:30.921,1776342090.921357,Teclado,Key_AlphaNumeric_Release,0
2026-04-16 13:21:31.037,1776342091.0375407,Teclado,Key_AlphaNumeric_Press,0
2026-04-16 13:21:31.132,1776342091.132443,Teclado,Key_AlphaNumeric_Release,0
2026-04-16 13:21:31.148,1776342091.1487062,Teclado,Key_WASD_Press,0
2026-04-16 13:21:31.233,1776342091.2338808,Teclado,Key_WASD_Press,0
2026-04-16 13:21:31.303,1776342091.3030121,Teclado,Key_WASD_Release,0
2026-04-16 13:21:31.355,1776342091.3553758,Teclado,Key_WASD_Release,0
2026-04-16 13:21:31.360,1776342091.3605611,Teclado,Key_Space_Press,0
2026-04-16 13:21:31.472,1776342091.4727228,Teclado,Key_Space_Release,0
2026-04-16 13:21:31.580,1776342091.5803704,Teclado,Key_AlphaNumeric_Press,0
2026-04-16 13:21:31.686,1776342091.6868558,Teclado,Key_AlphaNumeric_Release,0
2026-04-16 13:21:31.763,1776342091.7634227,Teclado,Key_AlphaNumeric_Press,0
2026-04-16 13:21:31.859,1776342091.859585,Teclado,Key_AlphaNumeric_Release,0
2026-04-16 13:21:31.883,1776342091.883064,Teclado,Key_AlphaNumeric_Press,0
2026-04-16 13:21:31.978,1776342091.97842,Teclado,Key_AlphaNumeric_Release,0
2026-04-16 13:21:32.131,1776342092.13165,Teclado,Key_WASD_Press,0
2026-04-16 13:21:32.242,1776342092.2425768,Teclado,Key_WASD_Release,0
2026-04-16 13:21:32.617,1776342092.6175976,Teclado,Key_AlphaNumeric_Press,0
2026-04-16 13:21:32.712,1776342092.7127142,Teclado,Key_AlphaNumeric_Release,0
2026-04-16 13:21:32.810,1776342092.8107014,Teclado,Key_AlphaNumeric_Press,0
2026-04-16 13:21:32.879,1776342092.8792722,Teclado,Key_AlphaNumeric_Release,0
2026-04-16 13:21:33.015,1776342093.015634,Teclado,Key_AlphaNumeric_Press,0
2026-04-16 13:21:33.093,1776342093.0937836,Teclado,Key_AlphaNumeric_Press,0
2026-04-16 13:21:33.104,1776342093.1042671,Teclado,Key_AlphaNumeric_Release,0
2026-04-16 13:21:33.173,1776342093.1735084,Teclado,Key_AlphaNumeric_Release,0
2026-04-16 13:21:33.267,1776342093.2676678,Teclado,Key_WASD_Press,0
2026-04-16 13:21:33.382,1776342093.3828588,Teclado,Key_WASD_Release,0
2026-04-16 13:21:35.125,1776342095.12577,Teclado,Key_Modifier_Press,0
2026-04-16 13:21:35.247,1776342095.2473993,Teclado,Key_AlphaNumeric_Press,0
2026-04-16 13:21:35.353,1776342095.353848,Teclado,Key_AlphaNumeric_Release,0
2026-04-16 13:21:35.375,1776342095.3755274,Teclado,Key_Modifier_Release,0
2026-04-16 13:21:35.857,1776342095.8570368,Teclado,Key_Modifier_Press,0
2026-04-16 13:21:35.968,1776342095.9687538,Teclado,Key_Enter_Press,0
2026-04-16 13:21:36.153,1776342096.153767,Teclado,Key_Enter_Release,0
2026-04-16 13:21:36.188,1776342096.1882725,Teclado,Key_Modifier_Release,0
2026-04-16 13:21:36.701,1776342096.7016807,Teclado,Key_Modifier_Press,0
2026-04-16 13:21:36.770,1776342096.7705784,Teclado,Key_Modifier_Release,0
2026-04-16 13:21:37.033,1776342097.0336623,Teclado,Key_AlphaNumeric_Press,0
2026-04-16 13:21:37.124,1776342097.1240437,Teclado,Key_AlphaNumeric_Release,0
2026-04-16 13:21:37.140,1776342097.1405528,Teclado,Key_Space_Press,0
2026-04-16 13:21:37.240,1776342097.24057,Teclado,Key_Space_Release,0
2026-04-16 13:21:38.600,1776342098.600813,Teclado,Key_AlphaNumeric_Press,0
2026-04-16 13:21:38.680,1776342098.680542,Teclado,Key_AlphaNumeric_Release,0
2026-04-16 13:21:38.823,1776342098.8233712,Teclado,Key_WASD_Press,0
2026-04-16 13:21:38.873,1776342098.8736928,Teclado,Key_WASD_Release,0
2026-04-16 13:21:38.999,1776342098.9996696,Teclado,Key_WASD_Press,0
2026-04-16 13:21:39.095,1776342099.0954337,Teclado,Key_AlphaNumeric_Press,0
2026-04-16 13:21:39.138,1776342099.1380107,Teclado,Key_WASD_Release,0
2026-04-16 13:21:39.158,1776342099.1584048,Teclado,Key_Space_Press,0
2026-04-16 13:21:39.212,1776342099.212397,Teclado,Key_AlphaNumeric_Release,0
2026-04-16 13:21:39.281,1776342099.2811468,Teclado,Key_Space_Release,0
2026-04-16 13:21:39.379,1776342099.3796003,Teclado,Key_AlphaNumeric_Press,0
2026-04-16 13:21:39.431,1776342099.431973,Teclado,Key_AlphaNumeric_Press,0
2026-04-16 13:21:39.572,1776342099.572363,Teclado,Key_AlphaNumeric_Release,0
2026-04-16 13:21:39.603,1776342099.6033342,Teclado,Key_WASD_Press,0
2026-04-16 13:21:39.633,1776342099.6338024,Teclado,Key_AlphaNumeric_Release,0
2026-04-16 13:21:39.655,1776342099.655777,Teclado,Key_AlphaNumeric_Press,0
2026-04-16 13:21:39.713,1776342099.7138903,Teclado,Key_WASD_Release,0
2026-04-16 13:21:39.789,1776342099.7892306,Teclado,Key_AlphaNumeric_Press,0
2026-04-16 13:21:39.804,1776342099.8043137,Teclado,Key_AlphaNumeric_Release,0
2026-04-16 13:21:39.895,1776342099.895591,Teclado,Key_AlphaNumeric_Release,0
2026-04-16 13:21:40.141,1776342100.1418366,Teclado,Key_AlphaNumeric_Press,0
2026-04-16 13:21:40.225,1776342100.2251544,Teclado,Key_AlphaNumeric_Release,0
2026-04-16 13:21:40.344,1776342100.3449998,Teclado,Key_Space_Press,0
